hour,minute,day_of_week,is_weekend,is_peak,is_festival,weather_code,intersection_id,density
0,0,0,0,0,0,0,0,0.3859931427171467
0,0,0,0,0,0,0,1,0.14706085174412548
0,0,0,0,0,0,0,2,0.2706160389575659
0,0,0,0,0,0,0,3,0.12819254465762192
0,0,0,0,0,0,0,4,0.26655553328551695
0,0,0,0,0,0,0,5,0.19382299837494044
0,0,0,0,0,0,0,6,0.08
0,0,0,0,0,0,0,7,0.3548769841756155
1,0,0,0,0,0,0,0,0.3027843588435371
1,0,0,0,0,0,0,1,0.17953227043271475
1,0,0,0,0,0,0,2,0.23308867636989072
1,0,0,0,0,0,0,3,0.08
1,0,0,0,0,0,0,4,0.29225504920518686
1,0,0,0,0,0,0,5,0.26568320144757906
1,0,0,0,0,0,0,6,0.10164459906118745
1,0,0,0,0,0,0,7,0.2902040678137445
2,0,0,0,0,0,0,0,0.3679900782033556
2,0,0,0,0,0,0,1,0.0834144077782573
2,0,0,0,0,0,0,2,0.20264607944281374
2,0,0,0,0,0,0,3,0.10911001195429638
2,0,0,0,0,0,0,4,0.2810514171165497
2,0,0,0,0,0,0,5,0.17371222077948623
2,0,0,0,0,0,0,6,0.08933012767891575
2,0,0,0,0,0,0,7,0.33701954730539074
3,0,0,0,0,0,0,0,0.3512559174586225
3,0,0,0,0,0,0,1,0.1947704797347105
3,0,0,0,0,0,0,2,0.32350538956777636
3,0,0,0,0,0,0,3,0.14433008227396432
3,0,0,0,0,0,0,4,0.3679341435296206
3,0,0,0,0,0,0,5,0.18851371470193276
3,0,0,0,0,0,0,6,0.08728905095330566
3,0,0,0,0,0,0,7,0.2113685683766879
4,0,0,0,0,0,2,0,0.4494115905301169
4,0,0,0,0,0,2,1,0.27308830396594497
4,0,0,0,0,0,2,2,0.3687398162084162
4,0,0,0,0,0,2,3,0.32819942618707154
4,0,0,0,0,0,2,4,0.5016155469202056
4,0,0,0,0,0,2,5,0.3770953376393468
4,0,0,0,0,0,2,6,0.337803371237714
4,0,0,0,0,0,2,7,0.3653466119444123
5,0,0,0,0,0,0,0,0.30899575362873744
5,0,0,0,0,0,0,1,0.1442191730405883
5,0,0,0,0,0,0,2,0.25668940867129786
5,0,0,0,0,0,0,3,0.14201140055962314
5,0,0,0,0,0,0,4,0.2705629372885912
5,0,0,0,0,0,0,5,0.13033632167410936
5,0,0,0,0,0,0,6,0.19679892098254403
5,0,0,0,0,0,0,7,0.29172407698523767
6,0,0,0,0,0,1,0,0.5157048752760206
6,0,0,0,0,0,1,1,0.2961893729615399
6,0,0,0,0,0,1,2,0.3685737668330069
6,0,0,0,0,0,1,3,0.1664333911419133
6,0,0,0,0,0,1,4,0.4489916217934786
6,0,0,0,0,0,1,5,0.308240717237651
6,0,0,0,0,0,1,6,0.22882576764772647
6,0,0,0,0,0,1,7,0.3770133490940082
7,0,0,0,0,0,0,0,0.6696355121511458
7,0,0,0,0,0,0,1,0.3829772351412005
7,0,0,0,0,0,0,2,0.5898828901929489
7,0,0,0,0,0,0,3,0.4564211405267867
7,0,0,0,0,0,0,4,0.6621266412387745
7,0,0,0,0,0,0,5,0.5524457085705757
7,0,0,0,0,0,0,6,0.3980768387040817
7,0,0,0,0,0,0,7,0.5823719125949761
8,0,0,0,1,0,0,0,0.5992711605301001
8,0,0,0,1,0,0,1,0.45892110343102016
8,0,0,0,1,0,0,2,0.5833038755981244
8,0,0,0,1,0,0,3,0.4629947795742761
8,0,0,0,1,0,0,4,0.6443196180660473
8,0,0,0,1,0,0,5,0.49887286122161584
8,0,0,0,1,0,0,6,0.4100728245018158
8,0,0,0,1,0,0,7,0.5624624854857295
9,0,0,0,1,0,0,0,0.98
9,0,0,0,1,0,0,1,0.7284818748816728
9,0,0,0,1,0,0,2,0.842640042708369
9,0,0,0,1,0,0,3,0.732469520154058
9,0,0,0,1,0,0,4,0.98
9,0,0,0,1,0,0,5,0.8379529140269792
9,0,0,0,1,0,0,6,0.7866789835603968
9,0,0,0,1,0,0,7,0.8733861883715176
10,0,0,0,1,0,0,0,0.619211562956397
10,0,0,0,1,0,0,1,0.48881507969580446
10,0,0,0,1,0,0,2,0.5016051225795416
10,0,0,0,1,0,0,3,0.4204556711111285
10,0,0,0,1,0,0,4,0.6444293074902637
10,0,0,0,1,0,0,5,0.4290303965308129
10,0,0,0,1,0,0,6,0.4270156129711676
10,0,0,0,1,0,0,7,0.6427857751112054
11,0,0,0,0,0,0,0,0.6123062182449506
11,0,0,0,0,0,0,1,0.5136336885232651
11,0,0,0,0,0,0,2,0.6185648039089257
11,0,0,0,0,0,0,3,0.42742398816555105
11,0,0,0,0,0,0,4,0.6285024388482787
11,0,0,0,0,0,0,5,0.5013199146225573
11,0,0,0,0,0,0,6,0.3867976206058346
11,0,0,0,0,0,0,7,0.5957486924134894
