epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.733,0.99382,1.75555,1.36458,0.87305,0.64,0.73605,0.53629,0.99129,1.69969,1.46136,0.000659933,0.000659933,0.000659933
2,402.047,1.04605,1.40413,1.39557,0.74111,0.68227,0.72068,0.45155,1.07209,1.93801,1.60208,0.00129377,0.00129377,0.00129377
3,605.754,1.09671,1.43173,1.44667,0.79084,0.69,0.77206,0.44718,1.3207,1.83044,1.90647,0.0018946,0.0018946,0.0018946
4,807.308,1.07463,1.31122,1.41132,0.83087,0.69167,0.78135,0.52177,1.1635,1.50352,1.65418,0.0018515,0.0018515,0.0018515
5,1000.7,1.09371,1.27657,1.41424,0.66567,0.73006,0.67413,0.46553,0.92742,1.45304,1.41563,0.001802,0.001802,0.001802
6,1191.86,1.04211,1.23908,1.39394,0.84953,0.77333,0.85267,0.61133,0.93285,1.09915,1.39859,0.0017525,0.0017525,0.0017525
7,1384.33,1.02359,1.09574,1.36323,0.82418,0.82167,0.85702,0.58978,0.96827,1.08253,1.45518,0.001703,0.001703,0.001703
8,1577.52,0.97991,1.03931,1.32874,0.82535,0.81123,0.85383,0.61053,0.95766,1.08553,1.39634,0.0016535,0.0016535,0.0016535
9,1767.19,0.98899,1.00688,1.33774,0.87415,0.83353,0.89605,0.68505,0.81304,0.84829,1.27091,0.001604,0.001604,0.001604
10,1958.66,0.88947,0.93414,1.27844,0.86346,0.85167,0.89564,0.67594,0.79255,0.8953,1.22959,0.0015545,0.0015545,0.0015545
11,2153.77,0.87078,0.8349,1.24441,0.93353,0.81925,0.90546,0.67008,0.8555,0.81391,1.29377,0.001505,0.001505,0.001505
12,2342.45,0.88268,0.84428,1.25593,0.8695,0.8884,0.91226,0.70252,0.76075,0.73082,1.18905,0.0014555,0.0014555,0.0014555
13,2533.11,0.83404,0.75927,1.22942,0.90726,0.84785,0.91407,0.70543,0.73905,0.76036,1.1703,0.001406,0.001406,0.001406
14,2722.8,0.83567,0.75914,1.23743,0.94022,0.86507,0.94077,0.74245,0.70916,0.65736,1.13326,0.0013565,0.0013565,0.0013565
15,2921.82,0.8038,0.74347,1.21699,0.93958,0.865,0.93703,0.73939,0.74068,0.64459,1.16603,0.001307,0.001307,0.001307
16,3119.99,0.85387,0.78432,1.24698,0.91567,0.84667,0.9061,0.70761,0.72855,0.72122,1.16503,0.0012575,0.0012575,0.0012575
17,3316.33,0.79765,0.72619,1.21603,0.94877,0.905,0.94897,0.75761,0.67916,0.62441,1.10961,0.001208,0.001208,0.001208
18,3517.87,0.77675,0.66975,1.17088,0.94625,0.90333,0.94761,0.78084,0.61318,0.54123,1.05486,0.0011585,0.0011585,0.0011585
19,3718.33,0.78014,0.71297,1.17725,0.91817,0.87892,0.93186,0.76018,0.61908,0.66188,1.06905,0.001109,0.001109,0.001109
20,3918.54,0.72309,0.63415,1.14332,0.95476,0.93333,0.9556,0.78193,0.61368,0.5169,1.05551,0.0010595,0.0010595,0.0010595
21,4122.33,0.73529,0.64215,1.14514,0.94625,0.88028,0.93943,0.78558,0.58709,0.52148,1.03119,0.00101,0.00101,0.00101
22,4323.01,0.68261,0.57664,1.12006,0.96695,0.92643,0.9615,0.83303,0.52423,0.45148,0.9834,0.0009605,0.0009605,0.0009605
23,4522.14,0.65755,0.57395,1.11973,0.96714,0.93216,0.96073,0.80828,0.55495,0.45678,1.00186,0.000911,0.000911,0.000911
24,4728.68,0.64858,0.58177,1.10647,0.96377,0.93833,0.96905,0.82707,0.54644,0.44864,0.99522,0.0008615,0.0008615,0.0008615
25,4930.43,0.63615,0.5484,1.10382,0.96782,0.925,0.96689,0.83059,0.51671,0.44453,0.97494,0.000812,0.000812,0.000812
26,5133.02,0.65649,0.53821,1.10529,0.97812,0.93333,0.96868,0.84895,0.50324,0.41147,0.96796,0.0007625,0.0007625,0.0007625
27,5334.84,0.62745,0.52151,1.07852,0.96561,0.93582,0.96659,0.84539,0.46877,0.42535,0.95066,0.000713,0.000713,0.000713
28,5535.49,0.62732,0.52568,1.08936,0.97396,0.93495,0.96552,0.8539,0.47362,0.40598,0.94202,0.0006635,0.0006635,0.0006635
